region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
Central,Nebraska,state_or_territory,2018-2019,303,138,45.54
Central,Nebraska,state_or_territory,2019-2020,309,145,46.93
Central,Nebraska,state_or_territory,2020-2021,324,152,46.91
Central,Nebraska,state_or_territory,2021-2022,321,142,44.24
Central,Nebraska,state_or_territory,2022-2023,268,125,46.64
Central,Nebraska,state_or_territory,2023-2024,270,136,50.37
Central,Nebraska,state_or_territory,2024-2025,288,147,51.04
Central,Nebraska,state_or_territory,2025-2026,323,163,50.46
Central,North Dakota,state_or_territory,2016-2017,122,58,47.54
Central,North Dakota,state_or_territory,2017-2018,118,47,39.83
Central,North Dakota,state_or_territory,2018-2019,157,53,33.76
Central,North Dakota,state_or_territory,2019-2020,155,53,34.19
Central,North Dakota,state_or_territory,2020-2021,117,55,47.01
Central,North Dakota,state_or_territory,2021-2022,123,46,37.4
Central,North Dakota,state_or_territory,2022-2023,100,36,36.0
Central,North Dakota,state_or_territory,2023-2024,116,48,41.38
Central,North Dakota,state_or_territory,2024-2025,102,50,49.02
Central,North Dakota,state_or_territory,2025-2026,113,56,49.56
Central,Ohio,state_or_territory,2016-2017,1758,767,43.63
Central,Ohio,state_or_territory,2017-2018,1720,796,46.28
Central,Ohio,state_or_territory,2018-2019,1630,737,45.21
Central,Ohio,state_or_territory,2019-2020,1794,825,45.99
Central,Ohio,state_or_territory,2020-2021,1676,735,43.85
Central,Ohio,state_or_territory,2021-2022,1891,825,43.63
Central,Ohio,state_or_territory,2022-2023,1721,822,47.76
Central,Ohio,state_or_territory,2023-2024,1581,781,49.4
Central,Ohio,state_or_territory,2024-2025,1627,855,52.55
Central,Ohio,state_or_territory,2025-2026,1643,826,50.27
Central,South Dakota,state_or_territory,2016-2017,151,69,45.7
Central,South Dakota,state_or_territory,2017-2018,162,68,41.98
Central,South Dakota,state_or_territory,2018-2019,163,67,41.1
Central,South Dakota,state_or_territory,2019-2020,164,80,48.78
Central,South Dakota,state_or_territory,2020-2021,152,75,49.34
Central,South Dakota,state_or_territory,2021-2022,154,66,42.86
Central,South Dakota,state_or_territory,2022-2023,148,69,46.62
Central,South Dakota,state_or_territory,2023-2024,135,64,47.41
Central,South Dakota,state_or_territory,2024-2025,138,70,50.72
Central,South Dakota,state_or_territory,2025-2026,135,67,49.63
Central,Wisconsin,state_or_territory,2016-2017,838,353,42.12
Central,Wisconsin,state_or_territory,2017-2018,861,383,44.48
Central,Wisconsin,state_or_territory,2018-2019,813,372,45.76
Central,Wisconsin,state_or_territory,2019-2020,827,373,45.1
Central,Wisconsin,state_or_territory,2020-2021,836,375,44.86
Central,Wisconsin,state_or_territory,2021-2022,924,384,41.56
