school_name,source,source_url
University of Maryland School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Massachusetts T.H. Chan School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Miami Leonard M. Miller School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Michigan Medical School,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Minnesota Medical School,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Mississippi School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Missouri-Columbia School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Missouri-Kansas City School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Nebraska College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of Nevada, Reno School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of New Mexico School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of North Carolina at Chapel Hill School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of North Dakota School of Medicine and Health Sciences,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Oklahoma College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
