source_table,population,academic_year,major,metric,statistic,value
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Science,SD,0.26
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Non-Science,Mean,3.89
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Non-Science,SD,0.16
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Total,Mean,3.82
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Total,SD,0.19
A-17,Matriculants,2025-2026,Specialized Health Sciences,Total Matriculants,Count,1041.0
A-17,Matriculants,2025-2026,All Matriculants,MCAT CPBS,Mean,128.0
A-17,Matriculants,2025-2026,All Matriculants,MCAT CPBS,SD,2.2
A-17,Matriculants,2025-2026,All Matriculants,MCAT CARS,Mean,127.0
A-17,Matriculants,2025-2026,All Matriculants,MCAT CARS,SD,2.3
A-17,Matriculants,2025-2026,All Matriculants,MCAT BBLS,Mean,128.2
A-17,Matriculants,2025-2026,All Matriculants,MCAT BBLS,SD,2.1
A-17,Matriculants,2025-2026,All Matriculants,MCAT PSBB,Mean,129.0
A-17,Matriculants,2025-2026,All Matriculants,MCAT PSBB,SD,2.0
A-17,Matriculants,2025-2026,All Matriculants,Total MCAT,Mean,512.1
A-17,Matriculants,2025-2026,All Matriculants,Total MCAT,SD,6.5
A-17,Matriculants,2025-2026,All Matriculants,GPA Science,Mean,3.75
A-17,Matriculants,2025-2026,All Matriculants,GPA Science,SD,0.27
A-17,Matriculants,2025-2026,All Matriculants,GPA Non-Science,Mean,3.88
A-17,Matriculants,2025-2026,All Matriculants,GPA Non-Science,SD,0.18
A-17,Matriculants,2025-2026,All Matriculants,GPA Total,Mean,3.81
A-17,Matriculants,2025-2026,All Matriculants,GPA Total,SD,0.21
A-17,Matriculants,2025-2026,All Matriculants,Total Matriculants,Count,23440.0
