source_table,population,academic_year,gender,metric,statistic,value
A-22,Matriculants,2024-2025,All,Total MCAT,Mean,511.8
A-22,Matriculants,2024-2025,All,Total MCAT,SD,6.7
A-22,Matriculants,2024-2025,All,GPA Science,Mean,3.73
A-22,Matriculants,2024-2025,All,GPA Science,SD,0.29
A-22,Matriculants,2024-2025,All,GPA Non-Science,Mean,3.87
A-22,Matriculants,2024-2025,All,GPA Non-Science,SD,0.19
A-22,Matriculants,2024-2025,All,GPA Total,Mean,3.79
A-22,Matriculants,2024-2025,All,GPA Total,SD,0.23
A-22,Matriculants,2024-2025,All,Total Matriculants,Count,23010.0
A-22,Matriculants,2025-2026,Men,MCAT CPBS,Mean,128.5
A-22,Matriculants,2025-2026,Men,MCAT CPBS,SD,2.1
A-22,Matriculants,2025-2026,Men,MCAT CARS,Mean,126.9
A-22,Matriculants,2025-2026,Men,MCAT CARS,SD,2.3
A-22,Matriculants,2025-2026,Men,MCAT BBLS,Mean,128.5
A-22,Matriculants,2025-2026,Men,MCAT BBLS,SD,2.0
A-22,Matriculants,2025-2026,Men,MCAT PSBB,Mean,129.0
A-22,Matriculants,2025-2026,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2025-2026,Men,Total MCAT,Mean,512.9
A-22,Matriculants,2025-2026,Men,Total MCAT,SD,6.5
A-22,Matriculants,2025-2026,Men,GPA Science,Mean,3.76
A-22,Matriculants,2025-2026,Men,GPA Science,SD,0.27
A-22,Matriculants,2025-2026,Men,GPA Non-Science,Mean,3.86
A-22,Matriculants,2025-2026,Men,GPA Non-Science,SD,0.2
A-22,Matriculants,2025-2026,Men,GPA Total,Mean,3.8
A-22,Matriculants,2025-2026,Men,GPA Total,SD,0.22
A-22,Matriculants,2025-2026,Men,Total Matriculants,Count,10409.0
A-22,Matriculants,2025-2026,Women,MCAT CPBS,Mean,127.6
A-22,Matriculants,2025-2026,Women,MCAT CPBS,SD,2.2
A-22,Matriculants,2025-2026,Women,MCAT CARS,Mean,127.0
A-22,Matriculants,2025-2026,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2025-2026,Women,MCAT BBLS,Mean,127.9
A-22,Matriculants,2025-2026,Women,MCAT BBLS,SD,2.1
A-22,Matriculants,2025-2026,Women,MCAT PSBB,Mean,129.0
A-22,Matriculants,2025-2026,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2025-2026,Women,Total MCAT,Mean,511.4
A-22,Matriculants,2025-2026,Women,Total MCAT,SD,6.5
A-22,Matriculants,2025-2026,Women,GPA Science,Mean,3.74
A-22,Matriculants,2025-2026,Women,GPA Science,SD,0.27
A-22,Matriculants,2025-2026,Women,GPA Non-Science,Mean,3.9
A-22,Matriculants,2025-2026,Women,GPA Non-Science,SD,0.15
A-22,Matriculants,2025-2026,Women,GPA Total,Mean,3.81
A-22,Matriculants,2025-2026,Women,GPA Total,SD,0.2
A-22,Matriculants,2025-2026,Women,Total Matriculants,Count,12900.0
A-22,Matriculants,2025-2026,All,MCAT CPBS,Mean,128.0
A-22,Matriculants,2025-2026,All,MCAT CPBS,SD,2.2
A-22,Matriculants,2025-2026,All,MCAT CARS,Mean,127.0
A-22,Matriculants,2025-2026,All,MCAT CARS,SD,2.3
A-22,Matriculants,2025-2026,All,MCAT BBLS,Mean,128.2
A-22,Matriculants,2025-2026,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2025-2026,All,MCAT PSBB,Mean,129.0
A-22,Matriculants,2025-2026,All,MCAT PSBB,SD,2.0
A-22,Matriculants,2025-2026,All,Total MCAT,Mean,512.1
A-22,Matriculants,2025-2026,All,Total MCAT,SD,6.6
A-22,Matriculants,2025-2026,All,GPA Science,Mean,3.75
A-22,Matriculants,2025-2026,All,GPA Science,SD,0.27
A-22,Matriculants,2025-2026,All,GPA Non-Science,Mean,3.88
A-22,Matriculants,2025-2026,All,GPA Non-Science,SD,0.18
A-22,Matriculants,2025-2026,All,GPA Total,Mean,3.81
A-22,Matriculants,2025-2026,All,GPA Total,SD,0.21
